,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
21,2023-12-22,46.58325735363063,39.49568775550282,57.47688433728125,46.58080705640292,46.58612862704489,1.6133016138032747,1.6133016138032747,1.6133016138032747,1.6133016138032747,1.6133016138032747,1.6133016138032747,0.0,0.0,0.0,48.1965589674339
22,2023-12-23,46.608278435769556,39.779959613961864,57.203207630752104,46.60558356316184,46.611374210998015,1.8234539456116987,1.8234539456116987,1.8234539456116987,1.8234539456116987,1.8234539456116987,1.8234539456116987,0.0,0.0,0.0,48.43173238138125
23,2023-12-24,46.63329951790848,38.91692420552921,56.72552369568071,46.63035075396708,46.636653760142046,1.1560646292545986,1.1560646292545986,1.1560646292545986,1.1560646292545986,1.1560646292545986,1.1560646292545986,0.0,0.0,0.0,47.789364147163084
24,2023-12-25,46.65832060004742,38.14609027400934,55.54654244250653,46.655123487795244,46.661925888577095,0.21561634581499758,0.21561634581499758,0.21561634581499758,0.21561634581499758,0.21561634581499758,0.21561634581499758,0.0,0.0,0.0,46.87393694586242
25,2023-12-26,46.683341682186345,37.49079932628275,55.00585973973993,46.67981191140695,46.687196644451944,-0.43318319084249124,-0.43318319084249124,-0.43318319084249124,-0.43318319084249124,-0.43318319084249124,-0.43318319084249124,0.0,0.0,0.0,46.25015849134385
26,2023-12-27,46.70836276432527,34.82906056962736,53.15556881485045,46.70464813065103,46.71250882121459,-2.9152380136401352,-2.9152380136401352,-2.9152380136401352,-2.9152380136401352,-2.9152380136401352,-2.9152380136401352,0.0,0.0,0.0,43.79312475068514
27,2023-12-28,46.7333838464642,36.11401529821766,54.544389090318575,46.72939542224189,46.73773426332136,-1.4600153300067076,-1.4600153300067076,-1.4600153300067076,-1.4600153300067076,-1.4600153300067076,-1.4600153300067076,0.0,0.0,0.0,45.273368516457495
28,2023-12-29,46.758404928603134,40.1101810883904,56.617559922523846,46.7540982674516,46.76291520155485,1.6133016138077847,1.6133016138077847,1.6133016138077847,1.6133016138077847,1.6133016138077847,1.6133016138077847,0.0,0.0,0.0,48.37170654241092
29,2023-12-30,46.78342601074206,40.054147390738535,57.24845624381314,46.7789048386646,46.78827676374273,1.8234539456086414,1.8234539456086414,1.8234539456086414,1.8234539456086414,1.8234539456086414,1.8234539456086414,0.0,0.0,0.0,48.6068799563507
30,2023-12-31,46.80844709288099,38.979088851389676,56.7638388546114,46.80369081223828,46.81355628995727,1.1560646292532095,1.1560646292532095,1.1560646292532095,1.1560646292532095,1.1560646292532095,1.1560646292532095,0.0,0.0,0.0,47.9645117221342
31,2024-01-01,46.833468175019924,38.413565673012044,55.10382180484266,46.828443933915565,46.838951022532434,0.21561634581472874,0.21561634581472874,0.21561634581472874,0.21561634581472874,0.21561634581472874,0.21561634581472874,0.0,0.0,0.0,47.049084520834654
32,2024-01-02,46.85848925715885,37.60302089637406,55.16427114309503,46.85320972324573,46.8642613444274,-0.4331831908354073,-0.4331831908354073,-0.4331831908354073,-0.4331831908354073,-0.4331831908354073,-0.4331831908354073,0.0,0.0,0.0,46.425306066323444
33,2024-01-03,46.88351033929778,35.30008785310388,52.62856355121324,46.877953717771355,46.88954870120998,-2.9152380136422043,-2.9152380136422043,-2.9152380136422043,-2.9152380136422043,-2.9152380136422043,-2.9152380136422043,0.0,0.0,0.0,43.968272325655576
34,2024-01-04,46.90853142143671,35.99538393773082,53.875539907220585,46.90263035096028,46.91498634027884,-1.4600153300050567,-1.4600153300050567,-1.4600153300050567,-1.4600153300050567,-1.4600153300050567,-1.4600153300050567,0.0,0.0,0.0,45.44851609143166
35,2024-01-05,46.93355250357564,40.0614111531161,57.328136362974725,46.92727869046381,46.94040362290042,1.6133016138032803,1.6133016138032803,1.6133016138032803,1.6133016138032803,1.6133016138032803,1.6133016138032803,0.0,0.0,0.0,48.54685411737892
36,2024-01-06,46.95857358571457,40.19250093424446,57.103472630631856,46.952027541136275,46.96561052841216,1.8234539456093737,1.8234539456093737,1.8234539456093737,1.8234539456093737,1.8234539456093737,1.8234539456093737,0.0,0.0,0.0,48.78202753132394
37,2024-01-07,46.983594667853495,39.62926068337314,56.613283432726526,46.97671916238421,46.99094184926062,1.1560646292528938,1.1560646292528938,1.1560646292528938,1.1560646292528938,1.1560646292528938,1.1560646292528938,0.0,0.0,0.0,48.13965929710639
38,2024-01-08,47.00861574999242,38.13134457796048,55.3674852027871,47.001434065367484,47.016277582721216,0.2156163458158913,0.2156163458158913,0.2156163458158913,0.2156163458158913,0.2156163458158913,0.2156163458158913,0.0,0.0,0.0,47.22423209580831
39,2024-01-09,47.03363683213135,37.62426050023938,54.874342660298375,47.02611943646948,47.04172415384195,-0.43318319083725765,-0.43318319083725765,-0.43318319083725765,-0.43318319083725765,-0.43318319083725765,-0.43318319083725765,0.0,0.0,0.0,46.600453641294095
40,2024-01-10,47.05865791427029,35.45491753484839,53.06770330623744,47.0508787469257,47.06710358072483,-2.915238013640583,-2.915238013640583,-2.915238013640583,-2.915238013640583,-2.915238013640583,-2.915238013640583,0.0,0.0,0.0,44.14341990062971
41,2024-01-11,47.08367899640922,37.62712453496288,54.29532705958574,47.07560013330636,47.09233942873375,-1.4600153300010825,-1.4600153300010825,-1.4600153300010825,-1.4600153300010825,-1.4600153300010825,-1.4600153300010825,0.0,0.0,0.0,45.623663666408135
42,2024-01-12,47.10870007854815,40.0774909250663,57.70581531736367,47.10040222734168,47.11774253100716,1.6133016138031093,1.6133016138031093,1.6133016138031093,1.6133016138031093,1.6133016138031093,1.6133016138031093,0.0,0.0,0.0,48.722001692351256
43,2024-01-13,47.133721160687074,39.56409806232496,57.46076815292551,47.125053473287174,47.14315609963261,1.8234539456122376,1.8234539456122376,1.8234539456122376,1.8234539456122376,1.8234539456122376,1.8234539456122376,0.0,0.0,0.0,48.95717510629931
44,2024-01-14,47.158742242826,39.85476750802499,57.27618772970189,47.149782548607995,47.16843379723393,1.1560646292515047,1.1560646292515047,1.1560646292515047,1.1560646292515047,1.1560646292515047,1.1560646292515047,0.0,0.0,0.0,48.314806872077504
45,2024-01-15,47.18376332496493,37.52888992846226,56.32590825348061,47.17449901181709,47.1937447884819,0.21561634581562228,0.21561634581562228,0.21561634581562228,0.21561634581562228,0.21561634581562228,0.21561634581562228,0.0,0.0,0.0,47.399379670780554
46,2024-01-16,47.208784407103856,38.07192033421099,55.207771745962454,47.199176892119276,47.219129562114105,-0.4331831908391079,-0.4331831908391079,-0.4331831908391079,-0.4331831908391079,-0.4331831908391079,-0.4331831908391079,0.0,0.0,0.0,46.77560121626475
47,2024-01-17,47.2338054892428,34.892856757038814,52.86202234255049,47.22388206650592,47.24459017201425,-2.9152380136426514,-2.9152380136426514,-2.9152380136426514,-2.9152380136426514,-2.9152380136426514,-2.9152380136426514,0.0,0.0,0.0,44.31856747560015
48,2024-01-18,47.25882657138172,36.144564281309506,55.48776924647318,47.248606513785184,47.27010155523533,-1.4600153299994314,-1.4600153299994314,-1.4600153299994314,-1.4600153299994314,-1.4600153299994314,-1.4600153299994314,0.0,0.0,0.0,45.79881124138229
49,2024-01-19,47.28384765352065,40.21926930863877,57.27439207487253,47.2732967741312,47.29555018004227,1.6133016138029384,1.6133016138029384,1.6133016138029384,1.6133016138029384,1.6133016138029384,1.6133016138029384,0.0,0.0,0.0,48.89714926732359
50,2024-01-20,47.30886873565958,39.92646607274638,57.73719745735213,47.29799167262312,47.32099648959689,1.8234539456110754,1.8234539456110754,1.8234539456110754,1.8234539456110754,1.8234539456110754,1.8234539456110754,0.0,0.0,0.0,49.13232268127066
51,2024-01-21,47.33388981779851,39.56540843155169,57.292096492978835,47.32277066257855,47.346438427219894,1.1560646292522625,1.1560646292522625,1.1560646292522625,1.1560646292522625,1.1560646292522625,1.1560646292522625,0.0,0.0,0.0,48.48995444705077
52,2024-01-22,47.358910899937435,39.2917168051002,56.32882157833121,47.34752401074168,47.371802316062286,0.21561634581535336,0.21561634581535336,0.21561634581535336,0.21561634581535336,0.21561634581535336,0.21561634581535336,0.0,0.0,0.0,47.57452724575279
53,2024-01-23,47.38393198207637,38.688832327172896,55.49359032443314,47.37224735829973,47.397112736509534,-0.43318319083995627,-0.43318319083995627,-0.43318319083995627,-0.43318319083995627,-0.43318319083995627,-0.43318319083995627,0.0,0.0,0.0,46.950748791236414
54,2024-01-24,47.4089530642153,35.82868107693186,53.19647495347305,47.396959942043694,47.42240705521187,-2.9152380136393305,-2.9152380136393305,-2.9152380136393305,-2.9152380136393305,-2.9152380136393305,-2.9152380136393305,0.0,0.0,0.0,44.493715050575965
55,2024-01-25,47.433974146354224,36.59238985348078,54.56249883708013,47.421627269810976,47.4477996649202,-1.4600153299954577,-1.4600153299954577,-1.4600153299954577,-1.4600153299954577,-1.4600153299954577,-1.4600153299954577,0.0,0.0,0.0,45.97395881635877
56,2024-01-26,47.45899522849316,40.507304786611336,57.502522136915054,47.4462368675452,47.473094614636686,1.6133016138051082,1.6133016138051082,1.6133016138051082,1.6133016138051082,1.6133016138051082,1.6133016138051082,0.0,0.0,0.0,49.072296842298265
57,2024-01-27,47.484016310632086,40.704459690013785,58.625247512621925,47.470936002852895,47.4986153163132,1.8234539456099133,1.8234539456099133,1.8234539456099133,1.8234539456099133,1.8234539456099133,1.8234539456099133,0.0,0.0,0.0,49.307470256242
58,2024-01-28,47.50903739277101,40.42424601254285,56.88813590263906,47.49559997800989,47.524033860363716,1.1560646292508734,1.1560646292508734,1.1560646292508734,1.1560646292508734,1.1560646292508734,1.1560646292508734,0.0,0.0,0.0,48.665102022021884
59,2024-01-29,47.53405847490995,37.86734339670853,56.54015730293108,47.52018422729281,47.5492247793285,0.21561634581651573,0.21561634581651573,0.21561634581651573,0.21561634581651573,0.21561634581651573,0.21561634581651573,0.0,0.0,0.0,47.74967482072646
60,2024-01-30,47.559079557048875,38.898027526619664,55.124724845425234,47.54482046874862,47.57483731333066,-0.43318319084080464,-0.43318319084080464,-0.43318319084080464,-0.43318319084080464,-0.43318319084080464,-0.43318319084080464,0.0,0.0,0.0,47.12589636620807
61,2024-01-31,47.5841006391878,36.05394945122109,53.59031792349398,47.56952578513251,47.600249934919276,-2.915238013639554,-2.915238013639554,-2.915238013639554,-2.915238013639554,-2.915238013639554,-2.915238013639554,0.0,0.0,0.0,44.66886262554825
